signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
fgr5yrLag,op,96,0.8461,2.0847,0.7371,72,-0.0949,-0.2109,-0.0861,336,-0.0005,-0.0017,-0.0003,120,-0.1594,-0.5173,-0.1636,-0.1689,-9.1002,-2.5013,-13.8583,1996,1983,1990,Analyst,earnings forecast,M4,rule: Cat.Economic=earnings forecast,analyst,3.0000,EW,,4.9000,1_clear,Long-term EPS forecast,0.8461,2.0847,0.7371,-0.0949,-0.2109,-0.0861,-0.0005,-0.0017,-0.0003,-0.1594,-0.5173,-0.1636,0.4858,1.0726,0.3792,-0.3370,-0.6490,-0.2650,-0.1445,-0.4074,-0.0770,-0.3656,-0.7485,-0.2367,0.7378,1.6631,0.5880,-0.1687,-0.3516,-0.1435,0.0641,0.2182,0.0412,-0.1231,-0.3984,-0.1260,0.5635,1.4982,0.5297,-0.1596,-0.4227,-0.1726,0.0889,0.4729,0.0894,-0.0843,-0.2473,-0.0782,-0.1122,-0.0006,-0.1884,-0.1122,-0.0006,-0.1884,-0.6938,-0.2974,-0.7526,-0.2287,0.0868,-0.1668,0.1279,0.4258,0,-0.1122,-0.0006,-0.1884,-0.1122,-0.0006,-0.1884,-0.6938,-0.2974,-0.7526,-0.2287,0.0868,-0.1668,0,0,low (big-cap ok),neg skew,1996-2005
FirmAgeMom,op,228,2.2276,5.7754,1.3250,60,0.5382,0.9219,0.4123,216,0.8433,2.5434,0.5995,120,0.9822,2.2462,0.7103,0.4483,-22.9930,-4.3305,-40.3875,2006,1983,2001,Price,momentum,M4,rule: Cat.Economic=momentum,price,1.0000,EW,2.9000,7.2100,1_clear,Firm Age - Momentum,2.2276,5.7754,1.3250,0.5382,0.9219,0.4123,0.8433,2.5434,0.5995,0.9822,2.2462,0.7103,2.1400,4.2865,0.9834,0.1304,0.1887,0.0844,0.9964,2.2973,0.5415,1.4781,2.5426,0.8040,2.5040,5.4665,1.2541,0.4595,0.7191,0.3216,0.7666,2.0507,0.4834,0.9026,1.8092,0.5721,1.2456,3.1860,0.7309,0.7812,1.1493,0.5140,0.6344,1.5417,0.3634,0.8830,1.6786,0.5308,0.2416,0.3786,0.4409,0.2416,0.3786,0.4409,0.0609,0.4656,0.6907,0.1835,0.3061,0.3604,-0.1241,0.0393,1,0.2416,0.3786,0.4409,0.2416,0.3786,0.4409,0.0609,0.4656,0.6907,0.1835,0.3061,0.3604,1,1,low (big-cap ok),mid,2006-2010
ForecastDispersion,op,299,0.7150,3.5499,0.7112,24,0.8261,0.4474,0.3163,264,0.3313,1.3063,0.2785,120,0.5517,1.3627,0.4309,-0.5372,-18.9949,-5.6591,-75.8115,2002,1976,2000,Analyst,volatility,M3,rule: Cat.Economic=volatility,analyst,1.0000,EW,0.7900,2.8800,1_clear,EPS Forecast Dispersion,0.7150,3.5499,0.7112,0.8261,0.4474,0.3163,0.3313,1.3063,0.2785,0.5517,1.3627,0.4309,0.3012,1.2069,0.2418,1.0207,0.6372,0.4506,0.2800,0.9349,0.1993,0.3979,0.8753,0.2768,0.5209,2.5657,0.5140,1.1837,0.6875,0.4861,0.2615,1.1140,0.2375,0.5040,1.3470,0.4260,0.6172,3.3775,0.6766,0.3863,0.3246,0.2295,0.1890,0.5706,0.1216,0.4288,0.7982,0.2524,1.1553,0.4634,0.7716,1.1553,0.4634,0.7716,3.3886,0.9295,1.3209,2.2724,0.5020,0.9676,0.2715,0.5787,1,1.1553,0.4634,0.7716,1.1553,0.4634,0.7716,2.5000,0.9295,1.3209,2.2724,0.5020,0.9676,0,0,mid,neg skew,1996-2005
Frontier,op,288,2.0801,6.1799,1.2615,72,1.7091,3.0108,1.2292,180,0.4865,1.0766,0.2780,120,0.3517,0.5436,0.1719,0.5470,-17.7335,-3.4687,-26.2467,2009,1980,2003,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.9600,4.8632,1_clear,Efficient frontier index,1.5728,5.9983,1.2244,1.2954,2.9202,1.1922,0.3232,1.0080,0.2603,0.1944,0.4247,0.1343,0.1030,0.3348,0.0683,0.4602,0.8072,0.3295,-0.2021,-0.6145,-0.1587,-0.6796,-1.5371,-0.4861,0.3200,1.0025,0.2046,0.4439,1.2303,0.5023,-0.0985,-0.2890,-0.0746,-0.2939,-0.6035,-0.1908,-0.0767,-0.2547,-0.0520,0.6242,0.9677,0.3951,0.5878,1.0039,0.2592,0.8286,0.9757,0.3086,0.8216,0.2339,0.1691,0.8236,0.2055,0.1236,4.4671,-1.9620,-6.5964,1.3871,-0.3078,-0.9184,0.8461,0.9345,0,0.8216,0.2339,0.1691,0.8236,0.2055,0.1236,2.5000,-1.5000,-1.5000,1.3871,-0.3078,-0.9184,0,0,high (microcap),pos skew,2006-2010
Governance,op,111,0.5180,2.1081,0.6932,48,-1.2941,-2.1058,-1.0529,38,-0.5386,-1.7273,-0.9707,0,,,,1.2187,-6.1328,-2.5693,-15.5350,2003,1990,1999,Other,other,M1,G-index hand-collected dataset,alt_other,1.0000,VW,0.7200,2.7692,1_clear,Governance Index,,,,,,,,,,,,,,,,,,,,,,,,,0.5177,2.1042,0.6918,-1.2984,-2.1118,-1.0559,-0.5413,-1.7370,-0.9761,,,,0.3312,1.3652,0.4489,-0.8752,-1.8128,-0.9064,-0.4977,-1.4733,-0.8279,,,,-2.4984,-1.0398,,,,,,,,-2.5078,-1.0455,,0.0005,,1,-1.5000,-1.0398,,,,,,,,-1.5000,-1.0455,,0,0,low (big-cap ok),pos skew,1996-2005
GP,op,576,0.3011,2.3990,0.3463,36,0.4379,1.4382,0.8303,132,1.0242,2.6533,0.8000,120,1.1129,2.6876,0.8499,0.0176,-10.9259,-3.7274,-74.8453,2013,1963,2010,Accounting,profitability,M6,rule: Cat.Economic=profitability,accounting,12.0000,VW,0.3100,2.4900,1_clear,gross profits / total assets,0.3011,2.3990,0.3463,0.4379,1.4382,0.8303,1.0242,2.6533,0.8000,1.1129,2.6876,0.8499,0.3011,2.3990,0.3463,0.4379,1.4382,0.8303,1.0242,2.6533,0.8000,1.1129,2.6876,0.8499,0.3034,2.3466,0.3387,0.3582,1.1764,0.6792,1.0207,3.4808,1.0495,1.0649,3.3960,1.0739,0.1582,1.2294,0.1774,0.3978,1.2965,0.7485,0.4390,1.6402,0.4945,0.4418,1.5472,0.4893,1.4546,3.4018,3.6965,1.4546,3.4018,3.6965,1.4546,3.4018,3.6965,1.1805,3.3643,3.5101,-0.0077,0.0000,0,1.4546,2.5000,2.5000,1.4546,2.5000,2.5000,1.4546,2.5000,2.5000,1.1805,2.5000,2.5000,1,1,low (big-cap ok),mid,2011-2016
GrAdExp,op,444,0.4055,3.7971,0.6242,48,0.3462,1.6627,0.8313,120,0.1104,0.5232,0.1655,120,0.1104,0.5232,0.1655,-0.0342,-7.7637,-3.6307,-24.9988,2014,1974,2010,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,1.0000,EW,0.5800,3.5400,1_clear,Growth in advertising expenses,0.3406,4.1761,0.6866,0.2056,1.2079,0.6040,0.0949,0.6115,0.1934,0.0949,0.6115,0.1934,0.2473,1.4949,0.2458,-0.0774,-0.1841,-0.0921,0.0672,0.2174,0.0688,0.0672,0.2174,0.0688,0.4846,3.8028,0.6252,0.3096,1.1829,0.5914,0.1714,0.7544,0.2386,0.1714,0.7544,0.2386,0.5468,3.6590,0.6015,0.2059,0.5042,0.2521,-0.0222,-0.0715,-0.0226,-0.0222,-0.0715,-0.0226,0.8538,0.2723,0.2723,0.6037,0.2787,0.2787,-0.3130,0.2718,0.2718,0.6388,0.3537,0.3537,-0.1952,0.2739,1,0.8538,0.2723,0.2723,0.6037,0.2787,0.2787,-0.3130,0.2718,0.2718,0.6388,0.3537,0.3537,0,0,low (big-cap ok),mid,2011-2016
grcapx,op,288,0.5241,5.1782,1.0570,84,0.4801,1.7598,0.6652,216,0.1886,1.4787,0.3485,120,0.3000,1.5758,0.4983,0.4977,-4.7846,-3.0905,-14.8614,2006,1976,1999,Accounting,investment growth,M6,rule: Cat.Economic=investment growth,accounting,12.0000,EW,0.5700,5.0500,1_clear,Change in capex (two years),0.5241,5.1782,1.0570,0.4801,1.7598,0.6652,0.1886,1.4787,0.3485,0.3000,1.5758,0.4983,0.2624,2.1709,0.4431,0.9427,2.0643,0.7802,0.1011,0.4232,0.0998,0.3066,0.8311,0.2628,0.3245,3.6600,0.7471,0.2302,0.7243,0.2738,0.2340,1.8436,0.4345,0.2561,1.4630,0.4626,0.2611,2.3015,0.4698,0.0515,0.2740,0.1036,0.1524,0.7846,0.1849,0.1258,0.4528,0.1432,0.9160,0.3598,0.5723,0.9160,0.3598,0.5723,3.5929,0.3854,1.1686,0.7095,0.7211,0.7893,0.3810,0.4994,0,0.9160,0.3598,0.5723,0.9160,0.3598,0.5723,2.5000,0.3854,1.1686,0.7095,0.7211,0.7893,1,0,high (microcap),mid,2006-2010
grcapx3y,op,288,0.5935,4.6962,0.9586,84,0.4823,1.7344,0.6555,216,0.0548,0.3850,0.0907,120,0.1519,0.6993,0.2211,0.9437,-6.7230,-3.4116,-19.4573,2006,1976,1999,Accounting,investment growth,M6,rule: Cat.Economic=investment growth,accounting,12.0000,EW,0.6000,4.7100,1_clear,Change in capex (three years),0.5935,4.6962,0.9586,0.4823,1.7344,0.6555,0.0548,0.3850,0.0907,0.1519,0.6993,0.2211,0.2043,1.6087,0.3284,0.8935,2.1984,0.8309,-0.0108,-0.0410,-0.0097,-0.0325,-0.0789,-0.0250,0.3446,3.9366,0.8036,0.2151,0.8194,0.3097,0.2348,1.8666,0.4400,0.1903,1.1172,0.3533,0.2554,2.0913,0.4269,0.0938,0.4976,0.1881,0.1508,0.7575,0.1786,0.0515,0.1897,0.0600,0.8127,0.0924,0.2560,0.8127,0.0924,0.2560,4.3740,-0.0527,-0.1591,0.6243,0.6812,0.5524,0.4193,0.6558,0,0.8127,0.0924,0.2560,0.8127,0.0924,0.2560,2.5000,-0.0527,-0.1591,0.6243,0.6812,0.5524,0,0,high (microcap),pos skew,2006-2010
Herf,op,468,0.2127,2.3499,0.3763,60,0.0871,0.3354,0.1500,216,-0.3101,-1.7028,-0.4014,120,-0.4173,-1.3822,-0.4371,2.3806,-7.2793,-3.8256,-40.6476,2006,1963,2001,Other,other,M6,industry concentration risk,alt_other,1.0000,EW,0.2600,2.1400,1_clear,Industry concentration (sales),0.2127,2.3499,0.3763,0.0871,0.3354,0.1500,-0.3101,-1.7028,-0.4014,-0.4173,-1.3822,-0.4371,0.3105,1.9323,0.3094,-0.3648,-0.9383,-0.4196,0.0204,0.0781,0.0184,0.1378,0.3229,0.1021,0.1138,0.8557,0.1370,-0.5022,-1.5408,-0.6890,-0.3184,-1.9000,-0.4478,-0.3716,-1.3525,-0.4277,-0.0259,-0.3717,-0.0595,-0.0291,-0.1458,-0.0652,-0.1429,-0.8878,-0.2093,-0.0443,-0.1791,-0.0566,0.4096,-1.4579,-1.9616,0.4096,-1.4579,-1.9616,-1.1749,0.0657,0.4438,-4.4139,-2.7985,-3.2666,0.4652,-0.4597,1,0.4096,-1.4579,-1.5000,0.4096,-1.4579,-1.5000,-1.1749,0.0657,0.4438,-1.5000,-1.5000,-1.5000,0,0,high (microcap),pos skew,2006-2010
HerfBE,op,468,0.2212,2.0573,0.3294,60,0.0793,0.3781,0.1691,216,-0.3384,-1.8829,-0.4438,120,-0.3152,-1.0768,-0.3405,4.1690,-11.2401,-4.9269,-48.4617,2006,1963,2001,Other,other,M6,industry concentration,alt_other,1.0000,EW,0.2400,2.5200,1_clear,Industry concentration (equity),0.2212,2.0573,0.3294,0.0793,0.3781,0.1691,-0.3384,-1.8829,-0.4438,-0.3152,-1.0768,-0.3405,0.2783,1.8497,0.2962,0.0374,0.1149,0.0514,-0.0027,-0.0099,-0.0023,0.1956,0.4504,0.1424,0.1961,1.5286,0.2448,-0.3059,-1.3595,-0.6080,-0.3611,-2.2236,-0.5241,-0.3509,-1.3964,-0.4416,0.0313,0.4236,0.0678,0.2307,1.2880,0.5760,-0.4135,-2.1732,-0.5122,-0.3896,-1.3453,-0.4254,0.3582,-1.5298,-1.4249,0.3582,-1.5298,-1.4249,0.1344,-0.0097,0.7026,-1.5603,-1.8416,-1.7893,0.1136,-0.2582,1,0.3582,-1.5000,-1.4249,0.3582,-1.5000,-1.4249,0.1344,-0.0097,0.7026,-1.5000,-1.5000,-1.5000,0,0,low (big-cap ok),pos skew,2006-2010
hire,op,546,0.5079,5.6093,0.8316,48,0.3534,1.9296,0.9648,120,0.1919,0.8180,0.2587,120,0.1919,0.8180,0.2587,0.5765,-9.6306,-4.7921,-25.8877,2014,1965,2010,Other,investment alt,M6,hiring rate: investment-based,alt_other,12.0000,EW,0.8700,5.7800,1_clear,Employment growth,0.5079,5.6093,0.8316,0.3534,1.9296,0.9648,0.1919,0.8180,0.2587,0.1919,0.8180,0.2587,0.1477,1.2900,0.1912,0.1216,0.4091,0.2046,-0.4959,-1.4271,-0.4513,-0.4959,-1.4271,-0.4513,0.2631,2.7963,0.4145,0.5109,3.1517,1.5759,0.2126,0.8430,0.2666,0.2126,0.8430,0.2666,0.2403,2.8468,0.4220,0.2052,1.2481,0.6241,0.0539,0.2213,0.0700,0.0539,0.2213,0.0700,0.6959,0.3778,0.3778,0.6959,0.3778,0.3778,0.8230,-3.3574,-3.3574,1.9421,0.8080,0.8080,0.4820,0.7092,0,0.6959,0.3778,0.3778,0.6959,0.3778,0.3778,0.8230,-1.5000,-1.5000,1.9421,0.8080,0.8080,0,0,high (microcap),pos skew,2011-2016
IdioVol3F,op,456,0.9685,3.2284,0.5237,72,0.1958,0.1739,0.0710,216,0.2685,0.6917,0.1630,120,0.2453,0.4883,0.1544,0.0251,-30.8706,-4.9701,-114.6110,2006,1963,2000,Price,volatility,M3,rule: Cat.Economic=volatility,price,1.0000,VW,1.0600,3.1000,1_clear,Idiosyncratic risk (3 factor),0.9685,3.2284,0.5237,0.1958,0.1739,0.0710,0.2685,0.6917,0.1630,0.2453,0.4883,0.1544,0.9685,3.2284,0.5237,0.1958,0.1739,0.0710,0.2685,0.6917,0.1630,0.2453,0.4883,0.1544,0.3356,1.2859,0.2086,0.4815,0.4999,0.2041,0.3060,0.9452,0.2228,0.3921,0.9417,0.2978,0.2934,1.4325,0.2324,-0.0659,-0.0944,-0.0385,0.4652,1.2420,0.2928,0.6163,1.3593,0.4299,0.2022,0.2773,0.2533,0.2022,0.2773,0.2533,0.2022,0.2773,0.2533,1.4349,0.9118,1.1683,0.6535,0.0000,1,0.2022,0.2773,0.2533,0.2022,0.2773,0.2533,0.2022,0.2773,0.2533,1.4349,0.9118,1.1683,0,0,high (microcap),mid,2006-2010
IdioVolAHT,op,264,0.8943,2.5284,0.5390,72,0.1261,0.0729,0.0297,252,0.2198,0.5578,0.1217,120,0.2084,0.3462,0.1095,-0.3420,-24.4521,-4.4102,-93.7453,2003,1976,1997,Price,volatility,M3,rule: Cat.Economic=volatility,price,36.0000,VW,,2.6990,1_clear,Idiosyncratic risk (AHT),0.8943,2.5284,0.5390,0.1261,0.0729,0.0297,0.2198,0.5578,0.1217,0.2084,0.3462,0.1095,0.8943,2.5284,0.5390,0.1261,0.0729,0.0297,0.2198,0.5578,0.1217,0.2084,0.3462,0.1095,0.0814,0.2763,0.0589,0.0617,0.0397,0.0162,-0.1012,-0.3092,-0.0675,-0.1822,-0.3544,-0.1121,0.0112,0.0394,0.0084,0.3895,0.4091,0.1670,-0.0201,-0.0554,-0.0121,0.1818,0.3316,0.1049,0.1410,0.2458,0.2331,0.1410,0.2458,0.2331,0.1410,0.2458,0.2331,0.7581,-1.2434,-2.2377,0.9090,0.0000,0,0.1410,0.2458,0.2331,0.1410,0.2458,0.2331,0.1410,0.2458,0.2331,0.7581,-1.2434,-1.5000,0,0,high (microcap),neg skew,1996-2005
Illiquidity,op,408,0.3941,2.8159,0.4829,60,-0.0376,-0.0799,-0.0357,264,0.0430,0.3591,0.0766,120,-0.1034,-0.6456,-0.2041,0.4293,-12.2766,-4.4826,-43.7790,2002,1964,1997,Trading,liquidity,M3,rule: Cat.Economic=liquidity,volume,12.0000,EW,,6.6000,1_clear,Amihud's illiquidity,0.3941,2.8159,0.4829,-0.0376,-0.0799,-0.0357,0.0430,0.3591,0.0766,-0.1034,-0.6456,-0.2041,0.3818,2.4325,0.4172,0.1717,0.3877,0.1734,0.0787,0.5376,0.1146,-0.2745,-1.1751,-0.3716,0.4056,3.3128,0.5681,0.3918,0.6509,0.2911,-0.0372,-0.2842,-0.0606,-0.1208,-0.5738,-0.1815,0.4195,2.1066,0.3613,-0.1609,-0.3112,-0.1392,0.0698,0.5087,0.1084,-0.1514,-0.6796,-0.2149,-0.0953,0.1091,-0.2625,-0.0953,0.1091,-0.2625,0.4497,0.2062,-0.7190,0.9658,-0.0917,-0.2979,-0.0294,0.0311,0,-0.0953,0.1091,-0.2625,-0.0953,0.1091,-0.2625,0.4497,0.2062,-0.7190,0.9658,-0.0917,-0.2979,0,0,low (big-cap ok),mid,1996-2005
IndIPO,op,152,0.6688,2.3740,0.6670,48,-0.0913,-0.4693,-0.2347,396,0.4362,2.4624,0.4286,120,0.2971,1.0766,0.3404,0.3051,-12.6475,-3.8339,-44.9406,1991,1975,1987,Event,external financing,M4,IPO underperformance (issuer timing),event,1.0000,EW,0.8525,3.9700,1_clear,Initial Public Offerings,,,,,,,,,,,,,,,,,,,,,,,,,0.0507,0.1407,0.0395,-0.4371,-1.3183,-0.6591,0.4522,2.3548,0.4099,0.4908,1.6018,0.5065,0.1360,0.3102,0.0892,-0.0010,-0.0034,-0.0017,0.2520,1.9889,0.3462,0.2958,1.0279,0.3251,-0.1366,0.6522,0.4442,,,,,,,-8.6293,8.9269,9.6888,0.9243,,1,-0.1366,0.6522,0.4442,,,,,,,-1.5000,2.5000,2.5000,0,1,high (microcap),mid,<=1995
IndMom,op,396,0.2569,2.3937,0.4167,48,1.2947,2.3658,1.1829,300,0.3128,1.2735,0.2547,120,0.0521,0.1991,0.0630,-0.4309,-9.4019,-4.5225,-44.6343,1999,1963,1995,Price,momentum,M4,rule: Cat.Economic=momentum,price,6.0000,EW,0.4300,4.6500,1_clear,Industry Momentum,0.3024,2.3711,0.4128,1.2625,2.1566,1.0783,0.2398,0.8925,0.1785,-0.1349,-0.4925,-0.1558,0.0374,0.2050,0.0357,1.8200,2.2695,1.1348,0.2226,0.7931,0.1586,-0.0866,-0.2465,-0.0779,0.0444,0.3546,0.0617,1.2822,2.3141,1.1571,0.1841,0.7507,0.1501,0.0512,0.2014,0.0637,-0.0805,-0.6224,-0.1084,0.4400,1.1905,0.5952,0.1694,0.9608,0.1922,-0.0629,-0.2217,-0.0701,5.0398,1.2175,0.2028,4.1750,0.7929,-0.4461,48.7175,5.9585,-2.3181,28.8867,4.1476,1.1529,0.8272,0.8765,0,2.5000,1.2175,0.2028,2.5000,0.7929,-0.4461,2.5000,2.5000,-1.5000,2.5000,2.5000,1.1529,0,0,high (microcap),neg skew,1996-2005
IndRetBig,op,360,2.3275,9.5424,1.7422,72,1.4247,2.7743,1.1326,204,0.5905,2.3309,0.5653,120,0.2145,0.6762,0.2138,1.0076,-24.2816,-5.7497,-37.4629,2007,1972,2001,Price,lead lag,M5,rule: Cat.Economic=lead lag,price,1.0000,EW,,11.0000,1_clear,Industry return of big firms,2.3275,9.5424,1.7422,1.4247,2.7743,1.1326,0.5905,2.3309,0.5653,0.2145,0.6762,0.2138,2.2946,8.8211,1.6105,1.1452,2.1825,0.8910,0.2437,0.8808,0.2136,-0.0738,-0.2450,-0.0775,2.0682,7.4281,1.3562,1.1654,2.2366,0.9131,0.4668,1.8318,0.4443,0.2010,0.6603,0.2088,1.6452,7.6427,1.3954,0.8711,2.5803,1.0534,0.4958,1.2791,0.3102,0.0462,0.0926,0.0293,0.6121,0.2537,0.0922,0.6121,0.2537,0.0922,0.4991,0.1062,-0.0322,0.5635,0.2257,0.0972,0.1114,0.0141,1,0.6121,0.2537,0.0922,0.6121,0.2537,0.0922,0.4991,0.1062,-0.0322,0.5635,0.2257,0.0972,0,0,low (big-cap ok),pos skew,2006-2010
IntanBM,op,432,0.3925,2.2708,0.3785,36,0.2755,1.0908,0.6298,216,0.0952,0.3597,0.0848,120,0.1844,0.4850,0.1534,0.5872,-18.7979,-5.3423,-49.7125,2006,1968,2003,Accounting,long term reversal,M6,rule: Cat.Economic=long term reversal,accounting,1.0000,EW,,3.9900,1_clear,Intangible return using BM,0.3925,2.2708,0.3785,0.2755,1.0908,0.6298,0.0952,0.3597,0.0848,0.1844,0.4850,0.1534,0.4484,2.0458,0.3410,0.4839,1.6653,0.9614,-0.4825,-1.4408,-0.3396,-0.4757,-1.1589,-0.3665,0.4172,2.1136,0.3523,0.3283,1.4033,0.8102,0.1112,0.3546,0.0836,0.0791,0.1847,0.0584,0.3926,1.8008,0.3001,-0.2747,-0.9253,-0.5342,0.1600,0.3680,0.0867,0.1971,0.3368,0.1065,0.7019,0.2426,0.4699,0.7019,0.2426,0.4699,1.0793,-1.0761,-1.0609,0.7868,0.2665,0.1896,-0.0631,-0.1425,1,0.7019,0.2426,0.4699,0.7019,0.2426,0.4699,1.0793,-1.0761,-1.0609,0.7868,0.2665,0.1896,0,0,low (big-cap ok),pos skew,2006-2010
IntanCFP,op,432,0.3936,2.2867,0.3811,36,0.5567,1.9985,1.1538,216,0.2985,1.1338,0.2672,120,0.2993,0.7861,0.2486,-0.3020,-27.7713,-7.8726,-52.1714,2006,1968,2003,Accounting,long term reversal,M6,rule: Cat.Economic=long term reversal,accounting,1.0000,EW,,4.8900,1_clear,Intangible return using CFtoP,0.3936,2.2867,0.3811,0.5567,1.9985,1.1538,0.2985,1.1338,0.2672,0.2993,0.7861,0.2486,0.4410,2.1017,0.3503,0.2795,0.6271,0.3620,-0.3920,-1.1200,-0.2640,-0.6105,-1.3320,-0.4212,0.3637,1.9081,0.3180,0.5919,1.9349,1.1171,0.3033,0.9972,0.2351,0.1708,0.4149,0.1312,0.4427,2.4674,0.4112,-0.0010,-0.0033,-0.0019,0.2233,0.5730,0.1351,-0.0217,-0.0421,-0.0133,1.4144,0.7585,0.7604,1.4144,0.7585,0.7604,0.6338,-0.8889,-1.3845,1.6273,0.8339,0.4695,0.0759,-0.1203,1,1.4144,0.7585,0.7604,1.4144,0.7585,0.7604,0.6338,-0.8889,-1.3845,1.6273,0.8339,0.4695,0,0,low (big-cap ok),neg skew,2006-2010
IntanEP,op,432,0.3240,2.3747,0.3958,36,0.2459,1.1310,0.6530,216,0.2317,1.0945,0.2580,120,0.2962,0.9563,0.3024,0.5182,-12.7692,-4.6165,-49.6304,2006,1968,2003,Accounting,long term reversal,M6,rule: Cat.Economic=long term reversal,accounting,12.0000,EW,,4.6400,1_clear,Intangible return using EP,0.3240,2.3747,0.3958,0.2459,1.1310,0.6530,0.2317,1.0945,0.2580,0.2962,0.9563,0.3024,0.2444,1.2514,0.2086,-0.0538,-0.1452,-0.0838,-0.2317,-0.7377,-0.1739,-0.3068,-0.6989,-0.2210,0.2947,1.9803,0.3300,0.2843,1.3175,0.7607,0.1782,0.7723,0.1820,0.0699,0.2123,0.0671,0.3058,2.0444,0.3407,-0.1976,-0.7867,-0.4542,0.1795,0.6816,0.1607,-0.0117,-0.0320,-0.0101,0.7588,0.7151,0.9139,0.7588,0.7151,0.9139,-0.2203,-0.9480,-1.2550,0.9645,0.6048,0.2372,0.0904,0.2456,0,0.7588,0.7151,0.9139,0.7588,0.7151,0.9139,-0.2203,-0.9480,-1.2550,0.9645,0.6048,0.2372,0,0,low (big-cap ok),pos skew,2006-2010
IntanSP,op,432,0.5608,2.4999,0.4166,36,0.0087,0.0180,0.0104,216,0.1849,0.5769,0.1360,120,0.1810,0.3755,0.1187,1.4927,-13.1798,-2.9472,-91.1409,2006,1968,2003,Accounting,long term reversal,M6,rule: Cat.Economic=long term reversal,accounting,12.0000,EW,,4.2400,1_clear,Intangible return using Sale2P,0.5608,2.4999,0.4166,0.0087,0.0180,0.0104,0.1849,0.5769,0.1360,0.1810,0.3755,0.1187,0.3257,1.2892,0.2149,-0.0092,-0.0197,-0.0114,-0.4643,-1.0766,-0.2538,-0.3986,-0.6636,-0.2098,0.2758,1.8700,0.3117,0.0837,0.2850,0.1645,0.1750,0.6240,0.1471,0.1410,0.3357,0.1062,0.1582,0.8316,0.1386,-0.2246,-0.6483,-0.3743,0.2042,0.4920,0.1160,0.2572,0.4158,0.1315,0.0155,0.3297,0.3227,0.0155,0.3297,0.3227,-0.0283,-1.4254,-1.2237,0.3035,0.6344,0.5110,0.5081,0.4191,0,0.0155,0.3297,0.3227,0.0155,0.3297,0.3227,-0.0283,-1.4254,-1.2237,0.3035,0.6344,0.5110,0,0,high (microcap),pos skew,2006-2010
